"key","English (en)","Vietnamese (vi)","Status"
"quantumroot.toast.unavailable","Quantumroot vault unavailable.","Quantumroot vault unavailable.","needs-review"
"quantumroot.trackedBalance","Tracked Balance","Số dư được theo dõi","translated"
"quantumroot.vaultNumber","Vault #{id}","Vault #{id}","needs-review"
"quantumroot.vaults","Vaults","Vault","translated"
"quantumroot.workspaceRefreshFailed","Workspace Refresh Failed","Làm mới không gian thất bại","translated"
"receive.addressesNotReady","Receive addresses not ready","Địa chỉ nhận chưa sẵn sàng","translated"
"receive.amountBch","Amount (BCH)","Số lượng (BCH)","translated"
"receive.back","Back","Quay lại","translated"
"receive.bip21Active","Request details are active and the QR is now encoding the BIP21 URI.","Chi tiết yêu cầu đang hoạt động và QR đang mã hóa URI BIP21.","translated"
"receive.bip21Description","Encode amount, label, and message into the QR payload.","Mã hóa số lượng, nhãn và tin nhắn vào payload QR.","translated"
"receive.bip21Help","When enabled, the QR and copied payload use a BIP21-style `bitcoincash:` URI so compatible wallets can autofill request details.","Khi bật, QR và payload đã sao chép dùng URI kiểu BIP21 `bitcoincash:` để ví tương thích tự điền chi tiết yêu cầu.","translated"
"receive.bip21Title","BIP21 payment request","Yêu cầu thanh toán BIP21","translated"
"receive.cashToken","CashToken","CashToken","stable-term"
"receive.change","Change","Tiền thừa","translated"
"receive.changeAddressCount","{count} change addresses","{count} địa chỉ tiền thừa","translated"
"receive.clear","Clear","Xóa","translated"
"receive.close","Close","Đóng","translated"
"receive.copied","Copied to clipboard!","Đã sao chép vào bộ nhớ tạm!","translated"
"receive.copyBip21","Copy BIP21 URI","Sao chép URI BIP21","translated"
"receive.copyFailed","Failed to copy.","Sao chép thất bại.","translated"
"receive.copyQrPayload","Copy receive QR payload","Sao chép payload QR nhận","translated"
"receive.dismiss","Dismiss","Bỏ qua","translated"
"receive.dismissUnlockAlert","Dismiss unlock alert","Bỏ cảnh báo mở khóa","translated"
"receive.label","Label","Nhãn","translated"
"receive.main","Main","Chính","translated"
"receive.mainAddressCount","{count} main addresses","{count} địa chỉ chính","translated"
"receive.message","Message","Tin nhắn","stable-term"
"receive.noAddressesLoaded","This wallet does not have receive addresses loaded yet.","Ví này chưa tải địa chỉ nhận.","translated"
"receive.noBranchAddresses","No addresses found in this branch yet.","Chưa tìm thấy địa chỉ trong nhánh này.","translated"
"receive.noVaultFunds","No Quantumroot vault funds detected yet.","Chưa phát hiện tiền trong kho Quantumroot.","translated"
"receive.openQrPreview","Open larger QR code preview","Mở xem trước QR lớn hơn","translated"
"receive.optional","Optional","Tùy chọn","translated"
"receive.optionalExample","Optional, e.g. 0.0105","Tùy chọn, ví dụ 0,0105","translated"
"receive.prepareAddresses","Prepare receive addresses","Chuẩn bị địa chỉ nhận","translated"
"receive.prepareAddressesDescription","Prepare addresses to show your receive QR and address list.","Chuẩn bị địa chỉ để hiển thị QR nhận và danh sách địa chỉ.","translated"
"receive.privKeyReady","Private key view unlocked","Đã mở khóa chế độ xem khóa riêng","translated"
"receive.privKeyUnlock","Private key unlock in {count} taps","Mở khóa khóa riêng sau {count} lần chạm","translated"
"receive.pubKeyTapProgress","PubKey pressed {count}/{total} times","Đã nhấn PubKey {count}/{total} lần","translated"
"receive.qrCopyDescription","Tap the QR to copy the current payload. Close to return.","Chạm QR để sao chép payload hiện tại. Đóng để quay lại.","translated"
"receive.quantumLock","Quantum Lock","Quantum Lock","stable-term"
"receive.quantumLockAddress","Quantum Lock Address","Địa chỉ Quantum Lock","translated"
"receive.quantumrootStatus","Quantumroot Status","Trạng thái Quantumroot","translated"
"receive.readOnlyStatus","This view is read-only. It shows vault status and key receive data, but no spending or recovery actions.","Chế độ xem này chỉ đọc. Nó hiển thị trạng thái kho tiền và dữ liệu nhận, không có thao tác chi tiêu hoặc khôi phục.","translated"
"receive.receiveAddress","Receive Address","Địa chỉ nhận","translated"
"receive.receiveBalance","Receive Balance","Số dư nhận","translated"
"receive.receiveQr","Receive QR","QR nhận","translated"
"receive.regular","Regular","Thông thường","translated"
"receive.seeAllAddresses","See all addresses","Xem mọi địa chỉ","translated"
"receive.switch","Switch","Đổi","translated"
"receive.switchAddress","Switch address","Đổi địa chỉ","translated"
"receive.syncing","Syncing…","Đang đồng bộ…","translated"
"receive.tapPubKey","Tap PubKey to reveal the private key view.","Chạm PubKey để hiện chế độ xem khóa riêng.","translated"
"receive.title","Receive","Nhận","translated"
"receive.toggleAddressType","Toggle receive address type","Đổi loại địa chỉ nhận","translated"
"receive.unavailable","Unavailable","Không khả dụng","translated"
"reconfiguration.changingPath","Changing derivation path","Đang đổi đường dẫn dẫn xuất","translated"
"reconfiguration.clearing","Clearing old wallet data","Đang xóa dữ liệu ví cũ","translated"
"reconfiguration.clearingDetail","Removing the previous address, history, and UTXO records.","Xóa bản ghi địa chỉ, lịch sử và UTXO trước đó.","translated"
"reconfiguration.deriving","Generating wallet addresses","Đang tạo địa chỉ ví","translated"
"reconfiguration.derivingDetail","Creating the receive and change addresses for this wallet path.","Tạo địa chỉ nhận và tiền thừa cho đường dẫn ví này.","translated"
"reconfiguration.dismiss","Dismiss","Bỏ qua","translated"
"reconfiguration.failed","Wallet update failed","Cập nhật ví thất bại","translated"
"reconfiguration.failedDetail","The wallet could not be reconfigured.","Không thể cấu hình lại ví.","translated"
"reconfiguration.keepOpen","Please keep OPTN Wallet open. Navigation is temporarily disabled while wallet data is rebuilt.","Hãy giữ OPTN Wallet mở. Điều hướng tạm thời bị vô hiệu hóa khi dữ liệu ví được dựng lại.","translated"
"reconfiguration.movingTo","Moving to {network}","Đang chuyển sang {network}","translated"
"reconfiguration.preparing","Preparing wallet","Đang chuẩn bị ví","translated"
"reconfiguration.preparingDetail","Stopping background sync and reconnecting to the selected network.","Dừng đồng bộ nền và kết nối lại với mạng đã chọn.","translated"
"reconfiguration.progress","Wallet update progress","Tiến trình cập nhật ví","translated"
"reconfiguration.reloading","Reloading wallet","Đang tải lại ví","translated"
"reconfiguration.stepOf","Step {current} of {total}","Bước {current}/{total}","translated"
"reconfiguration.switchingNetwork","Switching network","Đang đổi mạng","translated"
"reconfiguration.syncing","Synchronizing wallet","Đang đồng bộ ví","translated"
"reconfiguration.syncingDetail","Fetching balances, UTXOs, and transaction history. This can take 15–20 seconds.","Đang lấy số dư, UTXO và lịch sử giao dịch. Có thể mất 15–20 giây.","translated"
"reconfiguration.updating","Updating wallet","Đang cập nhật ví","translated"
"reconfiguration.working","Working…","Đang xử lý…","translated"
"recovery.hide","Hide Backup Phrase","Ẩn cụm từ sao lưu","translated"
"recovery.reveal","Reveal Backup Phrase","Hiện cụm từ sao lưu","translated"
"recovery.warning","Warning","Cảnh báo","translated"
"recovery.warningDescription","Displaying your mnemonic backup phrase can compromise your funds. Ensure you keep it secure.","Hiển thị cụm từ khôi phục có thể làm lộ tiền. Hãy giữ cụm từ an toàn.","translated"
"rpa.confirmedPayment","confirmed stealth payment","khoản thanh toán ẩn đã xác nhận","translated"
"rpa.confirmedPayments","{count} confirmed stealth payment(s) found","Tìm thấy {count} khoản thanh toán ẩn đã xác nhận","translated"
"rpa.copyFailed","Copy failed.","Sao chép thất bại.","translated"
"rpa.copySuccess","Paycode copied!","Đã sao chép Paycode!","translated"
"rpa.derivationFailed","Paycode derivation failed. Unlock your wallet and try again.","Dẫn xuất Paycode thất bại. Mở khóa ví rồi thử lại.","translated"
"rpa.derivationPaths","Derivation paths","Đường dẫn dẫn xuất","translated"
"rpa.deriving","Deriving paycode…","Đang dẫn xuất Paycode…","translated"
"rpa.found","found","đã tìm thấy","translated"
"rpa.howWorks","How it works","Cách hoạt động","translated"
"rpa.lastScanned","Last scanned","Quét lần cuối","translated"
"rpa.noNotification","No notification tx.","Không có giao dịch thông báo.","translated"
"rpa.noNotificationText","The sender grinds their signature nonce until the input hash prefix matches your scan key — detectability is embedded in the signature itself.","Người gửi thử nonce chữ ký đến khi tiền tố hash đầu vào khớp khóa quét — khả năng phát hiện nằm ngay trong chữ ký.","translated"
"rpa.paycode","Paycode","Paycode","stable-term"
"rpa.prefixFilter","Prefix filter","Bộ lọc tiền tố","translated"
"rpa.scanDescription","Scans a Fulcrum-RPA server for transactions whose input signature prefix matches your scan key. Uses ECDH to verify each candidate and detect your stealth outputs.","Quét máy chủ Fulcrum-RPA để tìm giao dịch có tiền tố chữ ký đầu vào khớp khóa quét. Dùng ECDH để xác minh ứng viên và phát hiện đầu ra ẩn của bạn.","translated"
"rpa.scanKey","Scan key","Khóa quét","translated"
"rpa.scanning","Scanning…","Đang quét…","translated"
"rpa.serverUnsupported","This server does not support RPA scanning.","Máy chủ này không hỗ trợ quét RPA.","translated"
"rpa.shareDescription","Share this paycode with senders. Each payment creates a unique stealth address — no link between payments on-chain.","Chia sẻ Paycode này với người gửi. Mỗi khoản thanh toán tạo một địa chỉ ẩn riêng — không liên kết các khoản thanh toán trên chuỗi.","translated"
