"key","English (en)","Arabic (ar)","Status"
"quantumroot.popup.unsupportedReceive","Coins with an approval key stay in Protected spend; this recovery list only includes plain BCH coins.","تبقى العملات ذات مفتاح الموافقة في الإنفاق المحمي؛ وتضم قائمة الاسترداد هذه عملات BCH العادية فقط.","translated"
"quantumroot.popup.useRecoveryAddress","Use wallet recovery address","استخدم عنوان استرداد المحفظة","translated"
"quantumroot.popup.vaultSetup","Vault setup","إعداد الخزينة","translated"
"quantumroot.popup.vaultSetupDescription","Copy addresses and choose the approval key.","انسخ العناوين واختر مفتاح الموافقة.","translated"
"quantumroot.popup.waiting","Waiting","انتظار","translated"
"quantumroot.popup.walletRecoveryAddress","Wallet recovery address","عنوان استرداد المحفظة","translated"
"quantumroot.readyToRecover","{count} ready to recover","{count} جاهزة للاسترداد","translated"
"quantumroot.refreshing","Refreshing balances and UTXO status. Vaults remain available while sync completes.","جارٍ تحديث الأرصدة وحالة UTXO. تبقى الخزائن متاحة حتى اكتمال المزامنة.","translated"
"quantumroot.subtitle","Two spending lanes in one vault","مساران للإنفاق في خزينة واحدة","translated"
"quantumroot.syncingVaults","Syncing Vaults…","جارٍ مزامنة الخزائن…","translated"
"quantumroot.syncVaults","Sync Vaults","مزامنة الخزائن","translated"
"quantumroot.toast.approvalKeyMissing","This approval key is no longer visible. Refresh the vault or choose another key.","مفتاح الموافقة هذا غير ظاهر بعد الآن. حدّث الخزينة أو اختر مفتاحًا آخر.","translated"
"quantumroot.toast.authorizedBroadcast","Quantumroot authorized spend broadcast: {txid}","تم بث الإنفاق المصرح به في Quantumroot: {txid}","translated"
"quantumroot.toast.authorizedFailed","Quantumroot authorized spend failed: {message}","فشل الإنفاق المصرح به في Quantumroot: {message}","translated"
"quantumroot.toast.broadcastAuthorizedFailed","Failed to broadcast Quantumroot authorized spend.","فشل بث الإنفاق المصرح به في Quantumroot.","translated"
"quantumroot.toast.broadcastLockRecoveryFailed","Failed to broadcast Quantum Lock recovery.","فشل بث استرداد القفل الكمي.","translated"
"quantumroot.toast.broadcastSpendFailed","Failed to broadcast Quantumroot spend.","فشل بث إنفاق Quantumroot.","translated"
"quantumroot.toast.broadcastSweepFailed","Failed to broadcast Quantumroot sweep.","فشل بث مسح Quantumroot.","translated"
"quantumroot.toast.configureFailed","Failed to configure vault: {message}","فشلت تهيئة الخزينة: {message}","translated"
"quantumroot.toast.destinationRequired","Destination address is required.","عنوان الوجهة مطلوب.","translated"
"quantumroot.toast.ineligibleReceiveUtxo","That receive UTXO is not eligible for authorized spend.","UTXO الاستلام هذه غير مؤهلة للإنفاق المصرح به.","translated"
"quantumroot.toast.invalidTokenCategory","Token category must be 64 hexadecimal characters.","يجب أن تتكون فئة الرمز من 64 محرفًا سداسيًا عشريًا.","translated"
"quantumroot.toast.lockRecoveryBroadcast","Quantum Lock recovery broadcast: {txid}","تم بث استرداد القفل الكمي: {txid}","translated"
"quantumroot.toast.lockRecoveryFailed","Quantum Lock recovery failed: {message}","فشل استرداد القفل الكمي: {message}","translated"
"quantumroot.toast.noBchUtxos","No BCH-only receive UTXOs available to sweep.","لا تتوفر UTXOs للاستلام تحتوي على BCH فقط للمسح.","translated"
"quantumroot.toast.noControlToken","No matching Quantum Lock control token is available yet.","لا يتوفر بعد رمز تحكم مطابق للقفل الكمي.","translated"
"quantumroot.toast.previewActive","Quantumroot mainnet preview is active until activation.","معاينة Quantumroot على Mainnet نشطة حتى التفعيل.","translated"
"quantumroot.toast.reconfigured","Quantumroot vault reconfigured.","تمت إعادة تهيئة خزينة Quantumroot.","translated"
"quantumroot.toast.spendBroadcast","Quantumroot spend broadcast: {txid}","تم بث إنفاق Quantumroot: {txid}","translated"
"quantumroot.toast.spendFailed","Quantumroot spend failed: {message}","فشل إنفاق Quantumroot: {message}","translated"
"quantumroot.toast.sweepBroadcast","Quantumroot sweep broadcast: {txid}","تم بث مسح Quantumroot: {txid}","translated"
"quantumroot.toast.sweepFailed","Quantumroot sweep failed: {message}","فشل مسح Quantumroot: {message}","translated"
"quantumroot.toast.unavailable","Quantumroot vault unavailable.","خزينة Quantumroot غير متاحة.","translated"
"quantumroot.trackedBalance","Tracked Balance","الرصيد المتتبع","translated"
"quantumroot.vaultNumber","Vault #{id}","الخزينة رقم {id}","translated"
"quantumroot.vaults","Vaults","الخزائن","translated"
"quantumroot.workspaceRefreshFailed","Workspace Refresh Failed","فشل تحديث مساحة العمل","translated"
"receive.addressesNotReady","Receive addresses not ready","عناوين الاستلام غير جاهزة","translated"
"receive.amountBch","Amount (BCH)","المبلغ (BCH)","translated"
"receive.back","Back","رجوع","translated"
"receive.bip21Active","Request details are active and the QR is now encoding the BIP21 URI.","تفاصيل الطلب مفعّلة ورمز QR يشفّر URI بصيغة BIP21 الآن.","translated"
"receive.bip21Description","Encode amount, label, and message into the QR payload.","ترميز المبلغ والتسمية والرسالة داخل حمولة QR.","translated"
"receive.bip21Help","When enabled, the QR and copied payload use a BIP21-style `bitcoincash:` URI so compatible wallets can autofill request details.","عند التفعيل، يستخدم رمز QR والحمولة المنسوخة URI بصيغة BIP21 لملء تفاصيل الطلب تلقائيًا في المحافظ المتوافقة.","translated"
"receive.bip21Title","BIP21 payment request","طلب دفع BIP21","translated"
"receive.cashToken","CashToken","CashToken","stable-term"
"receive.change","Change","الباقي","translated"
"receive.changeAddressCount","{count} change addresses","{count} من عناوين الباقي","translated"
"receive.clear","Clear","مسح","translated"
"receive.close","Close","إغلاق","translated"
"receive.copied","Copied to clipboard!","تم النسخ إلى الحافظة!","translated"
"receive.copyBip21","Copy BIP21 URI","نسخ URI لـ BIP21","translated"
"receive.copyFailed","Failed to copy.","فشل النسخ.","translated"
"receive.copyQrPayload","Copy receive QR payload","نسخ حمولة QR للاستلام","translated"
"receive.dismiss","Dismiss","تجاهل","translated"
"receive.dismissUnlockAlert","Dismiss unlock alert","إغلاق تنبيه إلغاء القفل","translated"
"receive.label","Label","التسمية","translated"
"receive.main","Main","رئيسي","translated"
"receive.mainAddressCount","{count} main addresses","{count} من العناوين الرئيسية","translated"
"receive.message","Message","الرسالة","stable-term"
"receive.noAddressesLoaded","This wallet does not have receive addresses loaded yet.","لم يتم تحميل عناوين الاستلام لهذه المحفظة بعد.","translated"
"receive.noBranchAddresses","No addresses found in this branch yet.","لم يتم العثور على عناوين في هذا الفرع بعد.","translated"
"receive.noVaultFunds","No Quantumroot vault funds detected yet.","لم يتم العثور على أموال في خزائن Quantumroot بعد.","translated"
"receive.openQrPreview","Open larger QR code preview","فتح معاينة أكبر لرمز QR","translated"
"receive.optional","Optional","اختياري","translated"
"receive.optionalExample","Optional, e.g. 0.0105","اختياري، مثل 0.0105","translated"
"receive.prepareAddresses","Prepare receive addresses","تجهيز عناوين الاستلام","translated"
"receive.prepareAddressesDescription","Prepare addresses to show your receive QR and address list.","جهّز العناوين لعرض رمز QR وقائمة عناوين الاستلام.","translated"
"receive.privKeyReady","Private key view unlocked","تم فتح عرض المفتاح الخاص","translated"
"receive.privKeyUnlock","Private key unlock in {count} taps","فتح المفتاح الخاص خلال {count} نقرات","translated"
"receive.pubKeyTapProgress","PubKey pressed {count}/{total} times","تم الضغط على المفتاح العام {count}/{total} مرة","translated"
"receive.qrCopyDescription","Tap the QR to copy the current payload. Close to return.","اضغط على رمز QR لنسخ الحمولة الحالية. أغلق للعودة.","translated"
