"key","English (en)","Portuguese (Brazil) (pt-BR)","Status"
"receive.bip21Help","When enabled, the QR and copied payload use a BIP21-style `bitcoincash:` URI so compatible wallets can autofill request details.","Quando ativado, o QR e o payload copiado usam uma URI no estilo BIP21 `bitcoincash:` para preencher os detalhes em carteiras compatíveis.","translated"
"receive.bip21Title","BIP21 payment request","Solicitação de pagamento BIP21","translated"
"receive.cashToken","CashToken","CashToken","stable-term"
"receive.change","Change","Troco","translated"
"receive.changeAddressCount","{count} change addresses","{count} endereços de troco","translated"
"receive.clear","Clear","Limpar","translated"
"receive.close","Close","Fechar","translated"
"receive.copied","Copied to clipboard!","Copiado para a área de transferência!","translated"
"receive.copyBip21","Copy BIP21 URI","Copiar URI BIP21","translated"
"receive.copyFailed","Failed to copy.","Falha ao copiar.","translated"
"receive.copyQrPayload","Copy receive QR payload","Copiar payload do QR de recebimento","translated"
"receive.dismiss","Dismiss","Dispensar","translated"
"receive.dismissUnlockAlert","Dismiss unlock alert","Dispensar alerta de desbloqueio","translated"
"receive.label","Label","Rótulo","translated"
"receive.main","Main","Principal","translated"
"receive.mainAddressCount","{count} main addresses","{count} endereços principais","translated"
"receive.message","Message","Mensagem","stable-term"
"receive.noAddressesLoaded","This wallet does not have receive addresses loaded yet.","Esta carteira ainda não carregou endereços de recebimento.","translated"
"receive.noBranchAddresses","No addresses found in this branch yet.","Nenhum endereço encontrado neste ramo.","translated"
"receive.noVaultFunds","No Quantumroot vault funds detected yet.","Nenhum fundo do cofre Quantumroot foi detectado.","translated"
"receive.openQrPreview","Open larger QR code preview","Abrir visualização ampliada do QR","translated"
"receive.optional","Optional","Opcional","translated"
"receive.optionalExample","Optional, e.g. 0.0105","Opcional, ex.: 0,0105","translated"
"receive.prepareAddresses","Prepare receive addresses","Preparar endereços de recebimento","translated"
"receive.prepareAddressesDescription","Prepare addresses to show your receive QR and address list.","Prepare os endereços para mostrar o QR e a lista de recebimento.","translated"
"receive.privKeyReady","Private key view unlocked","Visualização da chave privada desbloqueada","translated"
"receive.privKeyUnlock","Private key unlock in {count} taps","Desbloqueio da chave privada em {count} toques","translated"
"receive.pubKeyTapProgress","PubKey pressed {count}/{total} times","PubKey pressionada {count}/{total} vezes","translated"
"receive.qrCopyDescription","Tap the QR to copy the current payload. Close to return.","Toque no QR para copiar o payload atual. Feche para voltar.","translated"
"receive.quantumLock","Quantum Lock","Quantum Lock","stable-term"
"receive.quantumLockAddress","Quantum Lock Address","Endereço do Quantum Lock","translated"
"receive.quantumrootStatus","Quantumroot Status","Status do Quantumroot","translated"
"receive.readOnlyStatus","This view is read-only. It shows vault status and key receive data, but no spending or recovery actions.","Esta visualização é somente leitura. Ela mostra o status do cofre e dados de recebimento, sem ações de gasto ou recuperação.","translated"
"receive.receiveAddress","Receive Address","Endereço de recebimento","translated"
"receive.receiveBalance","Receive Balance","Saldo para recebimento","translated"
"receive.receiveQr","Receive QR","QR de recebimento","translated"
"receive.regular","Regular","Normal","translated"
"receive.seeAllAddresses","See all addresses","Ver todos os endereços","translated"
"receive.switch","Switch","Trocar","translated"
"receive.switchAddress","Switch address","Trocar endereço","translated"
"receive.syncing","Syncing…","Sincronizando…","translated"
"receive.tapPubKey","Tap PubKey to reveal the private key view.","Toque em PubKey para revelar a chave privada.","translated"
"receive.title","Receive","Receber","translated"
"receive.toggleAddressType","Toggle receive address type","Alternar tipo de endereço de recebimento","translated"
"receive.unavailable","Unavailable","Indisponível","translated"
"reconfiguration.changingPath","Changing derivation path","Alterando caminho de derivação","translated"
"reconfiguration.clearing","Clearing old wallet data","Limpando dados antigos da carteira","translated"
"reconfiguration.clearingDetail","Removing the previous address, history, and UTXO records.","Removendo registros anteriores de endereços, histórico e UTXOs.","translated"
"reconfiguration.deriving","Generating wallet addresses","Gerando endereços da carteira","translated"
"reconfiguration.derivingDetail","Creating the receive and change addresses for this wallet path.","Criando os endereços de recebimento e troco para este caminho de carteira.","translated"
"reconfiguration.dismiss","Dismiss","Dispensar","translated"
"reconfiguration.failed","Wallet update failed","Falha na atualização da carteira","translated"
"reconfiguration.failedDetail","The wallet could not be reconfigured.","Não foi possível reconfigurar a carteira.","translated"
"reconfiguration.keepOpen","Please keep OPTN Wallet open. Navigation is temporarily disabled while wallet data is rebuilt.","Mantenha o OPTN Wallet aberto. A navegação está temporariamente desativada enquanto os dados da carteira são recriados.","translated"
"reconfiguration.movingTo","Moving to {network}","Movendo para {network}","translated"
"reconfiguration.preparing","Preparing wallet","Preparando carteira","translated"
"reconfiguration.preparingDetail","Stopping background sync and reconnecting to the selected network.","Parando a sincronização em segundo plano e reconectando à rede selecionada.","translated"
"reconfiguration.progress","Wallet update progress","Progresso da atualização da carteira","translated"
"reconfiguration.reloading","Reloading wallet","Recarregando carteira","translated"
"reconfiguration.stepOf","Step {current} of {total}","Etapa {current} de {total}","translated"
"reconfiguration.switchingNetwork","Switching network","Trocando de rede","translated"
"reconfiguration.syncing","Synchronizing wallet","Sincronizando carteira","translated"
"reconfiguration.syncingDetail","Fetching balances, UTXOs, and transaction history. This can take 15–20 seconds.","Buscando saldos, UTXOs e histórico de transações. Isso pode levar de 15 a 20 segundos.","translated"
"reconfiguration.updating","Updating wallet","Atualizando carteira","translated"
"reconfiguration.working","Working…","Processando…","translated"
"recovery.hide","Hide Backup Phrase","Ocultar frase de backup","translated"
"recovery.reveal","Reveal Backup Phrase","Revelar frase de backup","translated"
"recovery.warning","Warning","Aviso","translated"
"recovery.warningDescription","Displaying your mnemonic backup phrase can compromise your funds. Ensure you keep it secure.","Exibir a frase mnemônica pode comprometer seus fundos. Mantenha-a segura.","translated"
"rpa.confirmedPayment","confirmed stealth payment","pagamento furtivo confirmado","translated"
"rpa.confirmedPayments","{count} confirmed stealth payment(s) found","{count} pagamento(s) furtivo(s) confirmado(s) encontrado(s)","translated"
"rpa.copyFailed","Copy failed.","Falha ao copiar.","translated"
"rpa.copySuccess","Paycode copied!","Paycode copiado!","translated"
"rpa.derivationFailed","Paycode derivation failed. Unlock your wallet and try again.","Falha ao derivar o Paycode. Desbloqueie a carteira e tente novamente.","translated"
"rpa.derivationPaths","Derivation paths","Caminhos de derivação","translated"
"rpa.deriving","Deriving paycode…","Derivando Paycode…","translated"
"rpa.found","found","encontrado(s)","translated"
"rpa.howWorks","How it works","Como funciona","translated"
"rpa.lastScanned","Last scanned","Último escaneamento","translated"
"rpa.noNotification","No notification tx.","Nenhuma transação de notificação.","translated"
"rpa.noNotificationText","The sender grinds their signature nonce until the input hash prefix matches your scan key — detectability is embedded in the signature itself.","O remetente testa o nonce da assinatura até que o prefixo do hash da entrada corresponda à sua chave de varredura — a detectabilidade fica incorporada à própria assinatura.","translated"
"rpa.paycode","Paycode","Paycode","stable-term"
"rpa.prefixFilter","Prefix filter","Filtro de prefixo","translated"
"rpa.scanDescription","Scans a Fulcrum-RPA server for transactions whose input signature prefix matches your scan key. Uses ECDH to verify each candidate and detect your stealth outputs.","Consulta um servidor Fulcrum-RPA em busca de transações cujo prefixo de assinatura de entrada corresponde à sua chave de varredura. Usa ECDH para verificar candidatos e detectar suas saídas furtivas.","translated"
"rpa.scanKey","Scan key","Chave de varredura","translated"
"rpa.scanning","Scanning…","Escaneando…","translated"
"rpa.serverUnsupported","This server does not support RPA scanning.","Este servidor não oferece suporte à varredura RPA.","translated"
"rpa.shareDescription","Share this paycode with senders. Each payment creates a unique stealth address — no link between payments on-chain.","Compartilhe este Paycode com remetentes. Cada pagamento cria um endereço furtivo exclusivo, sem vínculo entre pagamentos na cadeia.","translated"
"rpa.spendKey","Spend key","Chave de gasto","translated"
"rpa.stealthBalance","Stealth BCH","BCH furtivo","translated"
"rpa.sync","Sync","Sincronizar","translated"
"rpa.title","RPA Paycode","Paycode RPA","stable-term"
"rpa.walletUnavailable","Wallet not available","Carteira indisponível","translated"
"send.address","Address","Endereço","translated"
"send.advanced","Advanced","Avançado","translated"
"send.advancedBuilder","Open Advanced Builder","Abrir construtor avançado","translated"
"send.airdrops","Airdrops","Distribuições","translated"
"send.amount","Amount","Valor","translated"
