"key","English (en)","Russian (ru)","Status"
"wc.transactionRejectedTitle","WalletConnect transaction rejected","Транзакция WalletConnect отклонена","translated"
"wc.transactionRejectionFailedBody","Failed to reject WalletConnect transaction request: {message}","Не удалось отклонить запрос транзакции WalletConnect: {message}","translated"
"wc.transactionResponseSentBody","Sent the WalletConnect transaction response.","Ответ транзакции WalletConnect отправлен.","translated"
"wc.transactionSentBody","Sent the transaction response to {name}.","Ответ транзакции отправлен в {name}.","translated"
"wc.transactionStaleBody","The dApp disconnected before the transaction response could be delivered.","dApp отключился до доставки ответа транзакции.","translated"
"wc.txid","TXID","TXID","stable-term"
"wc.unknownDapp","Unknown dApp","Неизвестный dApp","translated"
"wc.unsupportedTransaction","This request uses an unsupported transaction representation in the current OPTN Wallet integration.","Этот запрос использует представление транзакции, которое не поддерживается текущей интеграцией OPTN Wallet.","translated"
"wc.validUri","Please provide a valid WalletConnect URI.","Укажите действительный URI WalletConnect.","translated"
"wc.waitingForSync","Waiting for sync","Ожидание синхронизации","translated"
"wc.waitPrevious","Wait for the previous outgoing transaction to sync first","Сначала дождитесь синхронизации предыдущей исходящей транзакции","translated"
"wc.working","Working…","Обработка…","translated"
"wc.yes","Yes","Да","translated"
"wizard.activeSessions","Active WizardConnect Sessions","Активные сессии WizardConnect","translated"
"wizard.address","Address","Адрес","translated"
"wizard.approve","Approve WizardConnect","Одобрить WizardConnect","translated"
"wizard.approved","WizardConnect transaction approved and sent.","Транзакция WizardConnect одобрена и отправлена.","translated"
"wizard.approveFailed","WizardConnect transaction failed: {message}","Ошибка транзакции WizardConnect: {message}","translated"
"wizard.broadcast","Broadcast","Транслировать","translated"
"wizard.cancel","Cancel","Отмена","translated"
"wizard.close","Close","Закрыть","translated"
"wizard.connect","Connect","Подключить","translated"
"wizard.connectedOn","Connected On","Подключено","translated"
"wizard.connecting","Connecting…","Подключение…","translated"
"wizard.connectionUri","Connection URI","URI подключения","translated"
"wizard.connectQuestion","Connect this wallet to the following WizardConnect request?","Подключить этот кошелёк к следующему запросу WizardConnect?","translated"
"wizard.dapp","DApp","dApp","stable-term"
